Drift Type,Study Area,Drift Area [m^2],Mean Drift Depth [m],Mean Drift Volume [m^3],Std. Drift Depth [m],Median Drift Depth [m],CV Drift Depth,Volume:Area Ratio
stream,HV,2854.6505910130695,1.1910557530979893,3393.317840576172,0.2925952352133565,1.206505447626114,0.24566040208638698,1.1886981374389285
stream,HV,1974.8803432264267,1.3402115346447643,2650.9384155273438,0.3648598148842431,1.303337723016739,0.27224046760719206,1.3423286249314825
stream,HV,1718.2470045849852,0.9529618157280817,1646.718017578125,0.20917503124171122,0.9412619024515152,0.21949990837974695,0.9583709520133068
lake,CLPX,27257.666956747384,1.0266638359157159,27982.74951171875,0.23505326159814258,0.9977456629276276,0.22894861333894234,1.0266010497568236
lake,CLPX,8655.47525789839,1.2590313980187153,10898.17578125,0.3001926857073122,1.24544158577919,0.23843145308346783,1.2591077273665678
lake,CLPX,53484.46684731712,1.1683915589365828,62503.1064453125,0.26641355583380294,1.1561090052127838,0.22801735753404495,1.1686216602614927
lake,CLPX,5933.886379048546,0.9721982553287951,5779.7186279296875,0.18611139352595107,0.9493676722049713,0.19143358106830655,0.9740190928388525
stream,CLPX,8007.543926883944,1.4203415784510496,11366.99365234375,0.30859294589320097,1.4477807581424713,0.21726671286334961,1.4195355974484305
stream,CLPX,7761.727468312618,1.2827796729409822,9946.673583984375,0.2586724528652731,1.29201140999794,0.2016499468472432,1.2815025552741752
watertrack,CLPX,7921.86170950815,0.9740171312505896,7741.4881591796875,0.17298621834698535,0.9467050135135651,0.17760079653309552,0.9772309140271951
watertrack,CLPX,1071.7815959456702,0.8454206579716163,898.6821594238281,0.07854192370929455,0.8329431116580963,0.09290277327471158,0.8384937405375855
watertrack,CLPX,820.5645060901286,0.8510002765840697,701.2242279052734,0.08354527521666574,0.8412362635135651,0.09817302945190332,0.8545631972878106
watertrack,CLPX,516.307416851046,0.8994793028343381,456.93548583984375,0.12146583353728671,0.8858453333377838,0.13504016507610261,0.8850066276922554
watertrack,CLPX,480.20501325850125,0.8212675074527138,390.10206604003906,0.07415991181147609,0.8176995813846588,0.09029933747347968,0.8123656673072706
watertrack,CLPX,653.3618393724541,0.7918630631620888,525.0052108764648,0.062970041187925,0.7944299280643463,0.07952137701242352,0.8035443444029816
watertrack,CLPX,2094.5626989972707,0.8676847792763747,1818.6672973632812,0.09879858950497705,0.8599664270877838,0.11386461058746745,0.8682801895755764
watertrack,CLPX,2067.6890139628717,0.8470716858646941,1754.2854614257812,0.06601837207104115,0.8455163538455963,0.07793717246451148,0.8484280999605301
watertrack,CLPX,3515.3868988341824,0.8935248589440734,3126.4434814453125,0.14821741683779807,0.8626214563846588,0.16587945523189426,0.8893597124351075
watertrack,CLPX,3344.3530983918818,0.8559821590887903,2869.252197265625,0.086773343701362,0.8530160486698151,0.10137284145470266,0.8579393720852302
watertrack,CLPX,2684.3233316006686,0.8698557899111794,2338.17236328125,0.08129760012117232,0.8683969080448151,0.093461009358199,0.8710472154213227
polygon,CLPX,791.7039688406666,1.0518465402444603,835.1661529541016,0.15083151625623434,1.0346795618534088,0.14339688394200498,1.0548970143184693
polygon,CLPX,245.42469348619835,0.9993079138583825,243.8311309814453,0.12979001737157847,0.9829293787479401,0.12987990545421793,0.99350691863106
polygon,CLPX,477.9254795446406,0.8453140734634875,406.5960693359375,0.08692882993276575,0.8411981165409088,0.10283613234616347,0.8507520246113168
polygon,CLPX,70.65429244847853,0.7710205078125,57.8265380859375,0.07400402237471082,0.7600823938846588,0.09598191179722476,0.8184433823055395
polygon,CLPX,265.15138797797437,0.7809260627150979,210.06911087036133,0.0988450932274862,0.7692681849002838,0.12657420202346026,0.792261026700005
outcrop,CLPX,11967.67398861887,1.4782649758626005,17688.918701171875,0.49642323785685516,1.4319573938846588,0.3358147869039386,1.4780582022867474
outcrop,CLPX,6084.587951840844,1.460279556264382,8884.3408203125,0.5568910775600119,1.4213906824588776,0.3813592234247422,1.4601384499051597
outcrop,CLPX,3636.010263245106,1.154425814490118,4205.5732421875,0.1975775075902897,1.1460229456424713,0.17114785992338094,1.1566450415995426
outcrop,CLPX,3572.9535216156746,1.2261056910679993,4389.4583740234375,0.21474606463573676,1.2394372522830963,0.17514482332161938,1.2285237822065322
outcrop,CLPX,1900.6060702297189,1.2830209152253669,2448.00390625,0.29443575781380354,1.324207454919815,0.22948632740105016,1.2880122528252893
stream,CLPX,35131.27699612925,1.240120640145367,43550.556640625,0.3116100199459665,1.2050820887088776,0.2512739566284773,1.239651967260495
stream,CLPX,30090.36774025188,1.2295063993608166,37004.4541015625,0.38035055444093524,1.1765863001346588,0.309352236506185,1.2297773965740422
other,CLPX,33535.34001050068,0.8777552171073228,29439.0322265625,0.11609076540184089,0.8635827600955963,0.13225870167359713,0.8778510138064641
other,CLPX,319265.0669459564,0.8838911730481304,282189.328125,0.13629302100468166,0.8865472376346588,0.15419660831623683,0.8838716080790875
other,CLPX,463122.9527047554,0.8771999710120832,406252.359375,0.13807264645761239,0.8746301233768463,0.15740156295070198,0.8772019546912613
